"X" "Y"
"239" 417231.453849888 4999628.06212319
"240" 415585.827672513 4951500.97357201
"241" 427709.573974251 4975130.21755969
"242" 444064.322631535 4957893.81483119
"243" 443953.633132345 4975072.25251353
"244" 422583.276121045 4988118.40093863
"245" 425736.437482814 5000153.9302406
"246" 424304.586123687 4965706.78439017
"247" 433801.201392924 4998784.64042009
"248" 418478.501740951 4953761.42805805
"249" 433263.275447383 4975739.63950177
"250" 411135.12249837 4996627.32699996
"251" 421480.282111701 4984692.99992903
"252" 421011.019492627 4973851.41753585
"253" 434159.828101502 4993684.04569724
"254" 448684.1834538 4964983.44482871
"255" 419475.103839751 4983012.96826392
"256" 426017.203155333 4985038.67991215
"257" 389618.600162609 4965432.72585326
"258" 365791.118691178 4968501.40707162
"259" 450544.584966862 4970549.56596218
"260" 474885.188994277 4982206.45805685
"261" 398449.734788715 4983095.24485992
"262" 456622.817510868 4968038.59879551
"263" 410914.353850191 4930450.89634914
"264" 465956.660179187 4955959.30272087
"265" 456221.413609349 4964529.11219484
"266" 471099.613471797 4955914.50522787
"267" 474137.413721586 5052001.58737225
"268" 468611.69781591 5052812.98238224
"269" 466941.864673841 4986485.40209878
"270" 410842.734196147 4975974.64026371
"271" 397343.245937149 5008265.91752912
"272" 408328.252894667 4920784.61521637
"273" 450702.579985589 5033281.41029501
"274" 378340.651787626 4957585.44677476
"275" 385623.98251204 5004348.03277515
"276" 367570.791833042 4965828.26016716
"277" 430592.720206176 5047009.32072559
"278" 464104.639788482 5054641.48103132
"279" 390204.35696222 5015982.83353433
"280" 393131.085724116 5011584.19239133
"281" 449365.767042309 4974854.78866352
"282" 406217.269708545 4939530.41226346
"283" 460987.271578721 4962270.65525563
"284" 442548.109295355 5041889.98803564
"285" 438390.084822735 5034583.14903542
"286" 436853.576203103 5033693.00779691
"287" 456013.113906527 5063816.02951255
"288" 375826.858007899 4969631.57799203
"289" 461751.71929493 5056706.29877434
"290" 449109.330821868 5037004.4492136
"291" 454126.74093855 5007117.64752322
"292" 458794.990547367 4968830.73948337
"293" 455706.411791054 4989857.69641691
"294" 491724.948486396 4979080.52532762
"295" 452814.580773045 4989795.89686961
"296" 467272.461478768 4961804.73492018
"297" 399225.314136205 5013483.56871177
"298" 403491.381899239 4998082.74032387
"299" 479719.726973082 4960844.68763741
"300" 383917.268875846 4937202.23375559
"301" 401105.970274428 5021151.48995093
"302" 394541.011142116 5012166.38799042
"303" 451393.557500946 5057115.81587886
"304" 466246.386186839 5053138.81760242
"305" 462033.437580416 4980317.39909277
"306" 393338.295142768 5013966.74634834
"307" 401312.880665225 4932405.73642431
"308" 467776.732180068 4997631.12623471
"309" 471888.748035779 4955813.91099211
"310" 411435.551492667 4919043.42011338
"311" 475704.344712591 4982142.37892631
"312" 377577.934559176 4981154.51982087
"313" 492250.003299529 4974741.61353818
"314" 435672.518566242 5048508.48733474
