"from" "to" "factor" "value" "x.to" "y.to" "x.end" "y.end" "x.from" "y.from"
"96" "01SS2N188PI" "01SS3N347PI" 1 1 383584.428111674 5030092.76953091 0 0 378100.406921025 5034018.06068776
"97" "01SS2N200PI" "01SS2N732PI" 1 1 388244.946598989 5036094.90621017 0 0 382358.739989123 5040982.11397926
"98" "01SS2N210PI" "06SS3F348PI" 1 1 399500.795936864 5021908.56376987 0 0 392319.750687874 5025480.99308
"99" "01SS2N262PI" "01SS2N934PI" 1 3 416368.311021304 5042783.27197736 0 0 419017.815371338 5042049.96011286
"100" "01SS2N262PI" "01SS2N182PI" 1 3 420813.346683221 5045888.38933631 0 0 419017.815371338 5042049.96011286
"101" "01SS2N262PI" "06SS3D183PI" 1 3 436139.984397465 5031443.08226042 0 0 419017.815371338 5042049.96011286
"102" "01SS2N294PI" "01SS1N293PI" 1 4 383234.349735412 5022316.94363986 0 0 390027.145974225 5017989.29849329
"103" "01SS2N294PI" "01SS2N933PI" 1 4 391401.90200242 5020992.07480855 0 0 390027.145974225 5017989.29849329
"104" "01SS2N294PI" "06SS2T193PI" 1 4 390204.35696222 5015982.83353433 0 0 390027.145974225 5017989.29849329
"105" "01SS2N294PI" "06SS3D295PI" 1 4 402612.582987316 5009554.04625563 0 0 390027.145974225 5017989.29849329
"106" "01SS2N303PI" "01SS1N302PI" 1 3 431842.182199543 5085259.82737462 0 0 439588.414557452 5079505.36986207
"107" "01SS2N303PI" "01SS2N869PI" 1 3 438175.608123812 5080567.6278462 0 0 439588.414557452 5079505.36986207
"108" "01SS2N303PI" "01SS3N721PI" 1 3 441009.859764055 5069909.17584702 0 0 439588.414557452 5079505.36986207
"109" "01SS2N346PI" "01SS1N858PI" 1 5 364589.341119728 5035679.31543391 0 0 369313.523154802 5033091.41934406
"110" "01SS2N346PI" "01SS1N862PI" 1 5 368372.460650822 5036827.03038609 0 0 369313.523154802 5033091.41934406
"111" "01SS2N346PI" "01GH1N345PI" 1 5 358388.030252978 5034271.19716933 0 0 369313.523154802 5033091.41934406
"112" "01SS2N346PI" "01SS3N347PI" 1 5 383584.428111674 5030092.76953091 0 0 369313.523154802 5033091.41934406
"113" "01SS2N346PI" "01SS2N374PI" 1 5 373321.271778521 5036876.34404926 0 0 369313.523154802 5033091.41934406
"114" "01SS2N352PI" "01SS2N106PI" 1 2 425990.104335655 5050002.15024321 0 0 422051.278928032 5051199.77930563
"115" "01SS2N352PI" "06SS3D107PI" 1 2 431816.887719005 5044561.5442901 0 0 422051.278928032 5051199.77930563
"116" "01SS2N374PI" "01SS3N347PI" 1 2 383584.428111674 5030092.76953091 0 0 373321.271778521 5036876.34404926
"117" "01SS2N374PI" "01SS2N346PI" 1 2 369313.523154802 5033091.41934406 0 0 373321.271778521 5036876.34404926
"118" "01SS2N563PI" "01SS2N765PI" 1 1 366702.149061659 5010190.13274504 0 0 369472.775525648 5012333.84480753
"119" "01SS2N710PI" "01SS2N123PI" 1 2 401480.406844959 5039084.54480939 0 0 398870.062209049 5036355.68953147
"120" "01SS2N710PI" "06SS3F124PI" 1 2 407916.887491454 5030145.42766613 0 0 398870.062209049 5036355.68953147
"121" "04SS1N443PI" "04SS3N170PI" 1 2 335990.013166899 4994607.2137027 0 0 328176.867408404 4981391.79573349
"122" "04SS1N443PI" "04SS3N975PI" 1 2 327458.779564235 4983704.56292274 0 0 328176.867408404 4981391.79573349
